dataset,species,filepath,n_points,plant_id,scan_date,is_annotated
Crops3D,Maize,../data/crops3d/Maize/3-54.ply,37006,,,
Crops3D,Maize,../data/crops3d/Maize/1-3.ply,10161,,,
Crops3D,Maize,../data/crops3d/Maize/1-125.ply,146546,,,
Crops3D,Maize,../data/crops3d/Maize/1-73.ply,44819,,,
Crops3D,Maize,../data/crops3d/Maize/3-61.ply,29861,,,
Crops3D,Maize,../data/crops3d/Maize/1-54.ply,30651,,,
Crops3D,Maize,../data/crops3d/Maize/1-110.ply,165323,,,
Crops3D,Maize,../data/crops3d/Maize/1-22.ply,10987,,,
Crops3D,Maize,../data/crops3d/Maize/3-53.ply,70057,,,
Crops3D,Maize,../data/crops3d/Maize/2-59.ply,37260,,,
Crops3D,Maize,../data/crops3d/Maize/2-58.ply,55020,,,
Crops3D,Maize,../data/crops3d/Maize/1-24.ply,22527,,,
Crops3D,Maize,../data/crops3d/Maize/2-13.ply,26135,,,
Crops3D,Maize,../data/crops3d/Maize/1-50.ply,81159,,,
Crops3D,Maize,../data/crops3d/Maize/2-108.ply,67842,,,
Crops3D,Maize,../data/crops3d/Maize/3-29.ply,52977,,,
Crops3D,Maize,../data/crops3d/Maize/2-76.ply,111562,,,
Crops3D,Maize,../data/crops3d/Maize/3-1.ply,48993,,,
Crops3D,Maize,../data/crops3d/Maize/3-3.ply,77642,,,
Crops3D,Maize,../data/crops3d/Maize/2-131.ply,38021,,,
Crops3D,Maize,../data/crops3d/Maize/2-110.ply,67782,,,
Crops3D,Maize,../data/crops3d/Maize/1-111.ply,214518,,,
Crops3D,Maize,../data/crops3d/Maize/3-21.ply,21561,,,
Crops3D,Maize,../data/crops3d/Maize/2-138.ply,37944,,,
Crops3D,Maize,../data/crops3d/Maize/3-12.ply,82370,,,
Crops3D,Maize,../data/crops3d/Maize/3-8.ply,72003,,,
Crops3D,Maize,../data/crops3d/Maize/3-52.ply,60291,,,
Crops3D,Maize,../data/crops3d/Maize/2-32.ply,40678,,,
Crops3D,Maize,../data/crops3d/Maize/2-87.ply,161806,,,
Crops3D,Maize,../data/crops3d/Maize/1-105.ply,428495,,,
Crops3D,Maize,../data/crops3d/Maize/3-39.ply,38148,,,
Crops3D,Maize,../data/crops3d/Maize/2-53.ply,92085,,,
Crops3D,Maize,../data/crops3d/Maize/2-128.ply,23032,,,
Crops3D,Maize,../data/crops3d/Maize/3-32.ply,37500,,,
Crops3D,Maize,../data/crops3d/Maize/3-15.ply,132528,,,
Crops3D,Maize,../data/crops3d/Maize/2-122.ply,24672,,,
Crops3D,Maize,../data/crops3d/Maize/2-39.ply,52775,,,
Crops3D,Maize,../data/crops3d/Maize/2-116.ply,36798,,,
Crops3D,Maize,../data/crops3d/Maize/1-4.ply,57317,,,
Crops3D,Maize,../data/crops3d/Maize/2-70.ply,42207,,,
Crops3D,Maize,../data/crops3d/Maize/1-8.ply,43230,,,
Crops3D,Maize,../data/crops3d/Maize/3-6.ply,40923,,,
Crops3D,Maize,../data/crops3d/Maize/1-102.ply,148781,,,
Crops3D,Maize,../data/crops3d/Maize/1-53.ply,210597,,,
Crops3D,Maize,../data/crops3d/Maize/2-109.ply,95259,,,
Crops3D,Maize,../data/crops3d/Maize/2-123.ply,30127,,,
Crops3D,Maize,../data/crops3d/Maize/2-148.ply,20776,,,
Crops3D,Maize,../data/crops3d/Maize/2-51.ply,115892,,,
Crops3D,Maize,../data/crops3d/Maize/1-78.ply,28761,,,
Crops3D,Maize,../data/crops3d/Maize/2-107.ply,94533,,,
Crops3D,Maize,../data/crops3d/Maize/1-75.ply,204185,,,
Crops3D,Maize,../data/crops3d/Maize/2-77.ply,91798,,,
Crops3D,Maize,../data/crops3d/Maize/1-5.ply,15126,,,
Crops3D,Maize,../data/crops3d/Maize/3-17.ply,68112,,,
Crops3D,Maize,../data/crops3d/Maize/2-124.ply,25122,,,
Crops3D,Maize,../data/crops3d/Maize/1-115.ply,62932,,,
Crops3D,Maize,../data/crops3d/Maize/3-58.ply,34843,,,
Crops3D,Maize,../data/crops3d/Maize/3-56.ply,44084,,,
Crops3D,Maize,../data/crops3d/Maize/2-57.ply,68926,,,
Crops3D,Maize,../data/crops3d/Maize/1-1.ply,10772,,,
Crops3D,Maize,../data/crops3d/Maize/2-79.ply,100564,,,
Crops3D,Maize,../data/crops3d/Maize/2-134.ply,13285,,,
Crops3D,Maize,../data/crops3d/Maize/2-2.ply,65941,,,
Crops3D,Maize,../data/crops3d/Maize/2-103.ply,69716,,,
Crops3D,Maize,../data/crops3d/Maize/2-29.ply,91199,,,
Crops3D,Maize,../data/crops3d/Maize/2-126.ply,14127,,,
Crops3D,Maize,../data/crops3d/Maize/2-145.ply,79550,,,
Crops3D,Maize,../data/crops3d/Maize/1-61.ply,23742,,,
Crops3D,Maize,../data/crops3d/Maize/3-13.ply,179827,,,
Crops3D,Maize,../data/crops3d/Maize/2-66.ply,34255,,,
Crops3D,Maize,../data/crops3d/Maize/3-30.ply,39793,,,
Crops3D,Maize,../data/crops3d/Maize/3-51.ply,83031,,,
Crops3D,Maize,../data/crops3d/Maize/1-116.ply,164440,,,
Crops3D,Maize,../data/crops3d/Maize/3-22.ply,25886,,,
Crops3D,Maize,../data/crops3d/Maize/2-71.ply,75065,,,
Crops3D,Maize,../data/crops3d/Maize/3-9.ply,49481,,,
Crops3D,Maize,../data/crops3d/Maize/2-136.ply,27109,,,
Crops3D,Maize,../data/crops3d/Maize/2-68.ply,44010,,,
Crops3D,Maize,../data/crops3d/Maize/1-106.ply,302666,,,
Crops3D,Maize,../data/crops3d/Maize/2-129.ply,42738,,,
Crops3D,Maize,../data/crops3d/Maize/2-100.ply,101117,,,
Crops3D,Maize,../data/crops3d/Maize/1-71.ply,62108,,,
Crops3D,Maize,../data/crops3d/Maize/3-4.ply,43252,,,
Crops3D,Maize,../data/crops3d/Maize/2-61.ply,35486,,,
Crops3D,Maize,../data/crops3d/Maize/3-59.ply,37313,,,
Crops3D,Maize,../data/crops3d/Maize/2-67.ply,51591,,,
Crops3D,Maize,../data/crops3d/Maize/2-84.ply,147849,,,
Crops3D,Maize,../data/crops3d/Maize/2-9.ply,129104,,,
Crops3D,Maize,../data/crops3d/Maize/2-75.ply,102311,,,
Crops3D,Maize,../data/crops3d/Maize/2-56.ply,87412,,,
Crops3D,Maize,../data/crops3d/Maize/2-120.ply,60084,,,
Crops3D,Maize,../data/crops3d/Maize/2-34.ply,29830,,,
Crops3D,Maize,../data/crops3d/Maize/3-35.ply,30615,,,
Crops3D,Maize,../data/crops3d/Maize/2-33.ply,30473,,,
Crops3D,Maize,../data/crops3d/Maize/3-7.ply,70589,,,
Crops3D,Maize,../data/crops3d/Maize/2-28.ply,42476,,,
Crops3D,Maize,../data/crops3d/Maize/2-127.ply,14816,,,
Crops3D,Maize,../data/crops3d/Maize/2-37.ply,43421,,,
Crops3D,Maize,../data/crops3d/Maize/1-68.ply,22085,,,
Crops3D,Maize,../data/crops3d/Maize/2-16.ply,34230,,,
Crops3D,Maize,../data/crops3d/Maize/2-133.ply,29992,,,
Crops3D,Maize,../data/crops3d/Maize/1-122.ply,46372,,,
Crops3D,Maize,../data/crops3d/Maize/2-83.ply,135147,,,
Crops3D,Maize,../data/crops3d/Maize/2-130.ply,34335,,,
Crops3D,Maize,../data/crops3d/Maize/2-24.ply,22797,,,
