dataset,species,filepath,n_points,plant_id,scan_date,is_annotated
Crops3D,Tomato,../data/crops3d/Tomato/10-5_1-1.ply,635311,,,
Crops3D,Tomato,../data/crops3d/Tomato/10-5_1-55.ply,2049738,,,
Crops3D,Tomato,../data/crops3d/Tomato/10-5_10-3.ply,1385806,,,
Crops3D,Tomato,../data/crops3d/Tomato/10-5_30-4.ply,1515996,,,
Crops3D,Tomato,../data/crops3d/Tomato/10-5_30-52.ply,619627,,,
Crops3D,Tomato,../data/crops3d/Tomato/11-2_1-1.ply,4358344,,,
Crops3D,Tomato,../data/crops3d/Tomato/11-2_1-55.ply,5519258,,,
Crops3D,Tomato,../data/crops3d/Tomato/11-2_10-3.ply,2633426,,,
Crops3D,Tomato,../data/crops3d/Tomato/11-2_20-28.ply,7570581,,,
Crops3D,Tomato,../data/crops3d/Tomato/11-2_30-4.ply,2482909,,,
Crops3D,Tomato,../data/crops3d/Tomato/11-2_35-22.ply,4619087,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-10_10-3.ply,717362,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-10_10-53.ply,670125,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-10_2-1.ply,172416,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-10_20-28.ply,575606,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-10_30-4.ply,411796,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-10_30-52.ply,350580,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-13_1-1.ply,138243,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-13_1-55.ply,349960,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-13_10-3.ply,510984,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-13_10-53.ply,217087,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-13_2-1.ply,78655,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-13_20-28.ply,322315,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-13_30-4.ply,230493,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-13_30-52.ply,427093,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-13_35-22.ply,375584,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-16_1-1.ply,304689,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-16_1-55.ply,646390,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-22_10-3.ply,1035417,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-22_10-53.ply,699289,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-22_20-28.ply,1030673,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-22_30-4.ply,609303,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-22_30-52.ply,951581,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-22_35-22.ply,811797,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_1-1.ply,693989,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_1-55.ply,1304362,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_10-3.ply,1097459,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_10-53.ply,1046969,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_2-1.ply,142475,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_30-4.ply,531981,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_30-52.ply,602847,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-25_35-22.ply,761093,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_1-1.ply,694668,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_1-55.ply,559438,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_10-3.ply,1129742,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_10-53.ply,624644,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_2-1.ply,349304,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_20-28.ply,1348477,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_30-4.ply,560061,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_30-52.ply,794714,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-28_35-22.ply,1318491,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_1-1.ply,373501,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_1-55.ply,1099080,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_10-3.ply,1126362,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_10-53.ply,1054630,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_2-1.ply,288551,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_20-28.ply,1317277,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_30-4.ply,715852,,,
Crops3D,Tomato,../data/crops3d/Tomato/8-31_35-22.ply,486520,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_1-1.ply,1065099,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_1-55.ply,730519,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_10-3.ply,1094013,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_10-53.ply,950967,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_2-1.ply,477818,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-14_30-4.ply,1164597,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_1-1.ply,600581,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_1-55.ply,1209363,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_10-3.ply,724995,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_10-53.ply,1163846,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_2-1.ply,416232,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_20-28.ply,2158075,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_30-4.ply,746428,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_30-52.ply,871296,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-3_35-22.ply,1818335,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_1-1.ply,686470,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_1-55.ply,1204764,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_10-3.ply,1356467,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_10-53.ply,1325991,,,
Crops3D,Tomato,../data/crops3d/Tomato/9-6_2-1.ply,354155,,,
