dataset,species,filepath,n_points,plant_id,scan_date,is_annotated
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0313_a.txt,1554168,M01,313.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0314.txt,1641908,M01,314.0,False
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0315_a.txt,1301557,M01,315.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0316.txt,1026080,M01,316.0,False
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0317_a.txt,803846,M01,317.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0318.txt,337476,M01,318.0,False
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0319_a.txt,860826,M01,319.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0320.txt,527758,M01,320.0,False
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0321_a.txt,1114990,M01,321.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0322.txt,805391,M01,322.0,False
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0324_a.txt,1214597,M01,324.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0325_a.txt,1407956,M01,325.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0313_a.txt,1729943,M02,313.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0314.txt,1432436,M02,314.0,False
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0315_a.txt,1441265,M02,315.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0316.txt,1407769,M02,316.0,False
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0317_a.txt,861631,M02,317.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0318.txt,496132,M02,318.0,False
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0319_a.txt,1133991,M02,319.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0320.txt,1117499,M02,320.0,False
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0321_a.txt,1444663,M02,321.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0322.txt,825218,M02,322.0,False
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0324_a.txt,1311008,M02,324.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0325_a.txt,1671990,M02,325.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0313_a.txt,1865929,M05,313.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0314.txt,1873556,M05,314.0,False
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0315_a.txt,1948620,M05,315.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0316.txt,1328413,M05,316.0,False
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0317_a.txt,727870,M05,317.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0318.txt,465873,M05,318.0,False
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0319_a.txt,659856,M05,319.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0320.txt,567138,M05,320.0,False
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0321_a.txt,658827,M05,321.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0322.txt,585356,M05,322.0,False
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0324_a.txt,1172940,M05,324.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0325_a.txt,1025838,M05,325.0,True
Pheno4D,Maize,../data/pheno4d/Maize06/M06_0313_a.txt,1448529,M06,313.0,True
Pheno4D,Maize,../data/pheno4d/Maize06/M06_0314.txt,2245774,M06,314.0,False
Pheno4D,Maize,../data/pheno4d/Maize06/M06_0315_a.txt,1678327,M06,315.0,True
Pheno4D,Maize,../data/pheno4d/Maize06/M06_0316.txt,842632,M06,316.0,False
Pheno4D,Maize,../data/pheno4d/Maize06/M06_0317_a.txt,672008,M06,317.0,True
Pheno4D,Maize,../data/pheno4d/Maize06/M06_0318.txt,746844,M06,318.0,False
