dataset,species,filepath,n_points,plant_id,scan_date,is_annotated
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0313_a.txt,1554168,M01,313.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0315_a.txt,1301557,M01,315.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0317_a.txt,803846,M01,317.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0319_a.txt,860826,M01,319.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0321_a.txt,1114990,M01,321.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0324_a.txt,1214597,M01,324.0,True
Pheno4D,Maize,../data/pheno4d/Maize01/M01_0325_a.txt,1407956,M01,325.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0313_a.txt,1729943,M02,313.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0315_a.txt,1441265,M02,315.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0317_a.txt,861631,M02,317.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0319_a.txt,1133991,M02,319.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0321_a.txt,1444663,M02,321.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0324_a.txt,1311008,M02,324.0,True
Pheno4D,Maize,../data/pheno4d/Maize02/M02_0325_a.txt,1671990,M02,325.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0313_a.txt,1865929,M05,313.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0315_a.txt,1948620,M05,315.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0317_a.txt,727870,M05,317.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0319_a.txt,659856,M05,319.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0321_a.txt,658827,M05,321.0,True
Pheno4D,Maize,../data/pheno4d/Maize05/M05_0324_a.txt,1172940,M05,324.0,True
