plant_id,species,scan_date,source_filepath,height,stem_diameter,leaf_area,leaf_count,volume,n_soil_pts,n_stem_pts,n_leaf_pts,stem_frac_of_points,stem_leaf_boundary_low_confidence
M01,Maize,313.0,../data/pheno4d/Maize01/M01_0313_a.txt,61.7718971712859,5.528773538838691,71.58168278261073,1.0,5651.0907298430775,3714,343,39,0.083740234375,False
M01,Maize,314.0,../data/pheno4d/Maize01/M01_0314.txt,77.86300119586652,4.30793733226939,259.4192211436823,1.0,7811.087569794734,3652,331,113,0.080810546875,False
M01,Maize,315.0,../data/pheno4d/Maize01/M01_0315_a.txt,102.73209677368811,3.5809797079357515,261.8877214552841,2.0,25340.82575517315,3398,569,129,0.138916015625,False
M01,Maize,316.0,../data/pheno4d/Maize01/M01_0316.txt,125.26860098090106,4.553270578263114,1042.9326073358116,3.0,71221.77685883608,3015,546,535,0.13330078125,False
M01,Maize,317.0,../data/pheno4d/Maize01/M01_0317_a.txt,171.7044101097831,4.406592851822654,1194.4854615187794,4.0,165968.49762673496,2974,607,515,0.148193359375,False
M01,Maize,318.0,../data/pheno4d/Maize01/M01_0318.txt,227.0473969556151,5.364563808433251,1467.3898356134816,6.0,252860.41631814436,539,844,2713,0.2060546875,False
M01,Maize,319.0,../data/pheno4d/Maize01/M01_0319_a.txt,270.19698917408095,5.0811855723224095,1830.0943316143382,2.0,355759.61806385126,2400,666,1030,0.16259765625,False
M01,Maize,320.0,../data/pheno4d/Maize01/M01_0320.txt,267.57629434879163,24.584857041468165,3343.484076486038,3.0,663953.0799830742,458,369,3269,0.090087890625,False
M01,Maize,321.0,../data/pheno4d/Maize01/M01_0321_a.txt,284.16819133362424,13.329526706134372,3044.555615173033,6.0,1133080.765752816,1493,759,1844,0.185302734375,False
M01,Maize,322.0,../data/pheno4d/Maize01/M01_0322.txt,356.3199872839941,35.5241595253426,3970.2894420519297,3.0,1923262.538367409,940,933,2223,0.227783203125,False
M01,Maize,324.0,../data/pheno4d/Maize01/M01_0324_a.txt,359.61658616477143,25.95641526882575,4519.29435518846,3.0,2642442.850967923,715,676,2705,0.1650390625,False
M01,Maize,325.0,../data/pheno4d/Maize01/M01_0325_a.txt,345.5415989887879,28.23260974605211,4320.428065513469,4.0,5060094.920764443,928,540,2628,0.1318359375,False
M02,Maize,313.0,../data/pheno4d/Maize02/M02_0313_a.txt,83.61210057919695,3.712958318480767,571.6997626140977,2.0,18777.1410592222,3500,355,241,0.086669921875,False
M02,Maize,314.0,../data/pheno4d/Maize02/M02_0314.txt,100.03789698101386,4.344834625658023,860.6977362797977,3.0,46993.34426847089,3312,399,385,0.097412109375,False
M02,Maize,315.0,../data/pheno4d/Maize02/M02_0315_a.txt,121.48480030184828,5.027419477023798,744.844403229478,3.0,79846.20979467829,3099,469,528,0.114501953125,False
M02,Maize,316.0,../data/pheno4d/Maize02/M02_0316.txt,151.170410885332,5.259710070432799,520.880553873341,2.0,122082.17630999084,3026,564,506,0.1376953125,False
M02,Maize,317.0,../data/pheno4d/Maize02/M02_0317_a.txt,163.82768958213478,6.058686763669101,1236.6593913389356,5.0,292533.22147924115,2528,645,923,0.157470703125,False
M02,Maize,318.0,../data/pheno4d/Maize02/M02_0318.txt,230.5564996253679,23.00885983079505,1813.5857302984732,6.0,1064559.7789672425,99,556,3441,0.1357421875,False
